ts,id,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14
2024-11-08 16:51:27.092117,0,3.21194893598831E-18,2.29626269246558E-17,0.133893241057194,6.9067466349192E-18,1.74758456798607E-17,1.9740189668902E-17,0.0114939504367481,4.51752877881205E-17,1.50617001209016E-17,3.11687859819045E-17,1.15989350036631E-04,1.0503485886844E-17,1.68238958682007E-17,1.2089136205585E-17,2.24904779869877E-04
2024-11-08 17:04:37.192907,1,6.47810798060089E-18,1.90714416442193E-17,0.133902488318459,1.20965693828835E-17,5.58284774330031E-18,1.56325406736506E-17,0.0114960962301458,3.810066865102E-17,3.42700193439863E-18,3.83817624275057E-17,1.16574361380752E-04,1.1456110627482E-17,2.11184753916774E-17,1.54261020853239E-17,2.24565077200521E-04
2024-11-08 17:08:05.510568,2,6.01732205729455E-18,1.73403432865453E-17,0.133921380427986,1.98650014217686E-17,9.775715305734E-18,2.51719368758048E-17,0.0115304055693898,3.61133473856207E-17,4.38001570015634E-18,4.17722508699221E-17,1.30305347500406E-04,1.04071414354852E-17,2.21887999202489E-17,1.60982644649251E-17,2.20936565419745E-04
2024-11-08 17:10:05.691930,3,5.02798757490153E-18,1.50686446903279E-17,0.133915510251569,5.76522950588302E-18,1.70550483704793E-17,2.15661084834925E-17,0.0115041010749433,3.13467468049968E-17,1.75017172173688E-17,4.16595632853698E-17,1.16718335397699E-04,8.30902586307238E-18,1.4183310216851E-17,1.16443118755674E-17,2.2434653791081E-04
2024-11-08 17:12:42.260847,4,8.6465123255719E-18,1.5080622878254E-17,0.133903511168114,7.92738081128066E-18,5.30186032200915E-18,2.83475035453884E-17,0.0115019605272988,4.22396263944217E-17,1.03879805149755E-17,3.10332590200879E-17,1.17722604118663E-04,7.3332349963455E-18,1.70002187216929E-17,1.33099796958657E-17,2.2410923907278E-04
2024-11-08 17:14:30.516041,5,1.14518854468781E-17,1.80479782534589E-17,0.133903933469356,8.79702555327113E-18,1.16051635637398E-17,1.30398469441305E-17,0.0115025626203124,3.30840449517444E-17,1.58025253392442E-17,4.40590717261845E-17,1.20787403260413E-04,6.71798038295419E-18,2.21305912886121E-17,1.20288848296927E-17,2.23367281152517E-04
2024-11-08 17:16:28.778592,6,1.12892551210053E-17,7.24976076348452E-18,0.133919496229424,1.14294109240753E-17,1.21682207231045E-17,2.33522092345528E-17,0.0115204851300783,2.76599120075E-17,1.42671862911825E-17,3.45573828140828E-17,1.23656228497945E-04,1.32107737991485E-17,2.50942543771822E-17,1.26424070144079E-17,2.23132490200108E-04
2024-11-08 17:18:18.233059,7,6.50521303491303E-18,1.54923503772328E-17,0.133916074727759,1.63312244266713E-17,2.45614515696292E-17,2.57927205268679E-17,0.0115185008839052,3.09134878016311E-17,1.29412046445909E-17,3.96872792919853E-17,1.24867901104803E-04,1.75127238118247E-17,2.08657484867741E-17,1.20108562747498E-17,2.2303372225679E-04
2024-11-08 17:19:48.376296,8,6.92534137675116E-18,1.27165204721629E-17,0.1339037435813,9.49579518011516E-19,1.74410679792254E-17,2.57482471674772E-17,0.0114931405091468,3.2384452957963E-17,1.82532781563025E-17,4.80368867215632E-17,1.14999533425143E-04,1.12347923690383E-17,1.43356828784219E-17,1.37419668348046E-17,2.2425498421069E-04
2024-11-08 17:21:07.016344,9,5.21772295508649E-18,2.08706042252466E-17,0.133919735358721,1.41982393764283E-17,7.08285419680142E-18,1.4948399808644E-17,0.0115118056632456,3.60028845480697E-17,1.07854806224192E-17,3.58063534465419E-17,1.1935100318783E-04,3.97812512090035E-18,1.98198147859815E-17,1.25045459565364E-17,2.23479946235483E-04
2024-11-08 17:22:20.217915,10,7.86046575051991E-19,3.24350644359985E-17,0.133904663122835,4.88896677436526E-17,1.82111980598696E-17,1.97526990806262E-17,0.0115124650108449,3.69987091351137E-17,1.84299217170549E-17,3.91407247999554E-17,1.23156501456704E-04,8.18596386918017E-18,2.29315674184329E-17,1.44438889918326E-17,2.23436370007011E-04
2024-11-08 17:23:40.422511,11,6.85757874097082E-18,3.33389924491168E-17,0.133899291683965,2.79581585207648E-17,8.65466932313051E-18,2.14624096811686E-17,0.0115005384548995,3.10921292112942E-17,1.22200219204006E-17,4.88470590116967E-17,1.18111915838766E-04,9.60320732960759E-18,1.71631152060819E-17,1.15350630293573E-17,2.23178260397564E-04
2024-11-08 17:24:58.201994,12,1.61275073157219E-18,1.62524609790981E-17,0.133916638204495,1.95523903936778E-17,1.30527195408618E-17,1.1731113107243E-17,0.0115273823628409,3.4005273122162E-17,1.65754344178494E-17,4.99311113768796E-17,1.29093321908414E-04,1.07045334570522E-17,1.97367713922811E-17,1.09290992745003E-17,2.21411126379758E-04
2024-11-08 17:26:09.679242,13,3.79470760369927E-19,1.26726168914718E-17,0.13389910311031,1.36883063937133E-17,2.36372731518471E-17,1.09805055517706E-17,0.0115060883637048,3.51716911571126E-17,1.76445383090062E-17,2.73449777378102E-17,1.21441378342988E-04,1.11549625635482E-17,1.72809995984012E-17,1.7724388459574E-17,2.23383248213699E-04
2024-11-08 17:27:16.256708,14,7.04731412115578E-18,1.49581111704437E-17,0.133911072786287,1.77842647338886E-17,9.23574980605424E-18,2.34478940138503E-17,0.0115083149263502,4.48554647548203E-17,1.27680036564963E-17,4.00999908478993E-17,1.21474865280154E-04,4.27879075699003E-18,2.88561749336118E-17,1.70278363932982E-17,2.23214378750722E-04
2024-11-08 17:28:28.287856,15,1.21972744404619E-17,1.63106142571662E-17,0.133907093551437,1.39356234869594E-17,2.16420179160756E-17,1.66412360291427E-17,0.0115177409108986,3.27826159290241E-17,9.03240701475435E-18,3.85126819613993E-17,1.28669466921436E-04,6.82500980478072E-18,2.72024127550514E-17,1.22292914591955E-17,2.21378755505559E-04
